City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,gushikawa,26.3544,127.8686,16.57,77,100,0.0,JP,1675452254
1,port macquarie,-31.4333,152.9167,19.94,48,0,6.16,AU,1675452255
2,la palma,33.8464,-118.0467,22.5,37,40,2.06,US,1675452256
3,ushuaia,-54.8,-68.3,10.81,87,75,12.86,AR,1675452111
4,butaritari,3.0707,172.7902,27.38,76,4,8.96,KI,1675452259
5,tuktoyaktuk,69.4541,-133.0374,-42.0,66,20,0.0,CA,1675452261
6,humaita,-7.5061,-63.0208,29.07,72,99,1.31,BR,1675452261
7,bethel,41.3712,-73.414,-5.8,34,75,7.72,US,1675452262
8,ust-kan,50.9276,84.761,-7.28,96,100,0.94,RU,1675452263
9,kapaa,22.0752,-159.319,22.99,94,100,10.8,US,1675452264
10,ostrovnoy,68.0531,39.5131,-13.06,94,99,3.72,RU,1675452264
11,vojens,55.2464,9.306,5.73,81,75,3.6,DK,1675452265
12,port elizabeth,-33.918,25.5701,23.94,89,75,4.63,ZA,1675452266
13,camapua,-19.5314,-54.0439,27.2,80,100,3.86,BR,1675452267
14,basoko,1.2391,23.616,27.02,56,74,0.62,CD,1675452267
15,puerto ayora,-0.7393,-90.3518,29.98,82,61,5.36,EC,1675452269
16,stolin,51.8912,26.846,-2.72,80,100,2.05,BY,1675452269
17,qaanaaq,77.484,-69.3632,-18.68,64,40,3.27,GL,1675452270
18,cherskiy,68.75,161.3,-27.96,100,100,0.3,RU,1675452271
19,busselton,-33.65,115.3333,19.67,60,0,6.65,AU,1675452271
20,nizhniy kuranakh,58.8353,125.4869,-16.19,95,100,2.5,RU,1675452272
21,fort-shevchenko,44.5086,50.263,1.32,95,100,10.1,KZ,1675452273
22,khandagayty,50.7333,92.05,-23.09,98,100,1.44,RU,1675452273
23,shihezi,44.3,86.0333,-10.95,95,97,1.26,CN,1675452274
24,mpanda,-6.3655,31.0409,18.66,96,98,0.31,TZ,1675452275
25,carnarvon,-24.8667,113.6333,26.08,77,11,3.09,AU,1675452275
26,new norfolk,-42.7826,147.0587,13.72,85,100,0.45,AU,1675452276
27,batemans bay,-35.7167,150.1833,10.82,68,0,2.69,AU,1675452277
28,vaini,-21.2,-175.2,24.09,94,75,4.63,TO,1675452278
29,castro,-24.7911,-50.0119,19.55,96,100,4.11,BR,1675452278
30,fort nelson,58.8053,-122.7002,-17.25,73,75,0.89,CA,1675452279
31,chuy,-33.6971,-53.4616,20.59,86,100,5.37,UY,1675452280
32,port alfred,-33.5906,26.891,22.32,85,57,1.79,ZA,1675452280
33,bengkulu,-3.8004,102.2655,24.16,89,100,2.68,ID,1675452281
34,phan thiet,10.9333,108.1,22.82,82,93,3.28,VN,1675452282
35,leningradskiy,69.3833,178.4167,-33.2,100,100,0.84,RU,1675452282
36,punta arenas,-53.15,-70.9167,19.06,45,40,15.43,CL,1675452283
37,maldonado,-34.6667,-54.9167,22.66,82,100,5.71,UY,1675452283
38,mantua,45.1667,10.7833,4.58,80,89,4.48,IT,1675452187
39,avarua,-21.2078,-159.775,28.03,78,52,6.69,CK,1675452284
40,dikson,73.5069,80.5464,-15.54,95,100,0.5,RU,1675452285
41,katsuura,35.1333,140.3,7.04,79,100,4.0,JP,1675452285
